# time_ps  msd_mean_A2  msd_SEM_A2  msd_STD_A2
172.000000 2.38045517e+03 2.37788518e+01 6.72567494e+01
173.000000 2.39411103e+03 2.40672294e+01 6.80724044e+01
174.000000 2.40771184e+03 2.43136501e+01 6.87693874e+01
175.000000 2.42141413e+03 2.45602612e+01 6.94669089e+01
176.000000 2.43502797e+03 2.48168173e+01 7.01925591e+01
177.000000 2.44864710e+03 2.50670297e+01 7.09002668e+01
178.000000 2.46234346e+03 2.53191759e+01 7.16134439e+01
179.000000 2.47602100e+03 2.56085573e+01 7.24319380e+01
180.000000 2.48969102e+03 2.58740844e+01 7.31829620e+01
181.000000 2.50340697e+03 2.61360362e+01 7.39238737e+01
182.000000 2.51698458e+03 2.64159537e+01 7.47155999e+01
183.000000 2.53064500e+03 2.66599767e+01 7.54058013e+01
184.000000 2.54431365e+03 2.69158746e+01 7.61295897e+01
185.000000 2.55792449e+03 2.71375801e+01 7.67566676e+01
186.000000 2.57165467e+03 2.73510928e+01 7.73605727e+01
187.000000 2.58538002e+03 2.75680004e+01 7.79740800e+01
188.000000 2.59891378e+03 2.77856102e+01 7.85895737e+01
189.000000 2.61258781e+03 2.80164920e+01 7.92426059e+01
190.000000 2.62627330e+03 2.82095376e+01 7.97886213e+01
191.000000 2.63999991e+03 2.83622297e+01 8.02204997e+01
192.000000 2.65370139e+03 2.85603754e+01 8.07809406e+01
193.000000 2.66736487e+03 2.87874315e+01 8.14231522e+01
194.000000 2.68107434e+03 2.89932266e+01 8.20052285e+01
195.000000 2.69475257e+03 2.91722592e+01 8.25116092e+01
196.000000 2.70849616e+03 2.94098325e+01 8.31835680e+01
197.000000 2.72219978e+03 2.96440514e+01 8.38460391e+01
198.000000 2.73585903e+03 2.98696120e+01 8.44840209e+01
199.000000 2.74951798e+03 3.00830116e+01 8.50876061e+01
200.000000 2.76312910e+03 3.03282939e+01 8.57813690e+01
201.000000 2.77678381e+03 3.05623474e+01 8.64433724e+01
202.000000 2.79047516e+03 3.08219276e+01 8.71775761e+01
203.000000 2.80420497e+03 3.10638297e+01 8.78617784e+01
204.000000 2.81786613e+03 3.13224703e+01 8.85933245e+01
205.000000 2.83161440e+03 3.15744218e+01 8.93059511e+01
206.000000 2.84539888e+03 3.17764090e+01 8.98772572e+01
207.000000 2.85913151e+03 3.20060420e+01 9.05267573e+01
